japonais	romaji	francais	categorie	variantes	corrigeable_auto
ドクター・ゲロ	Dokutā Gero	Dr Gero	personnage	ドクターゲロ	oui
人造人間16号	Jinzōningen Jūroku-gō	Android 16	personnage		oui
人造人間17号	Jinzōningen Jūnana-gō	Android 17	personnage		oui
人造人間18号	Jinzōningen Jūhachi-gō	Android 18	personnage		oui
人造人間19号	Jinzōningen Jūkyū-gō	Android 19	personnage		oui
人造人間13号	Jinzōningen Jūsan-gō	Android 13	personnage		oui
人造人間14号	Jinzōningen Jūyon-gō	Android 14	personnage		oui
バビディ	Babidi	Babidi	personnage		oui
ビビディ	Bibidi	Bibidi	personnage		oui
ダーブラ	Dāburā	Dabra	personnage		oui
ヤコン	Yakon	Yakon	personnage		oui
プイプイ	Puipui	Pui Pui	personnage		oui
スポポビッチ	Supopobitchi	Spopovitch	personnage		oui
ヤムー	Yamū	Yamu	personnage		oui
界王神	Kaiōshin	Kaioshin	personnage		oui
老界王神	Rō Kaiōshin	Vieux Kaioshin	personnage		oui
大界王神	Dai Kaiōshin	Grand Kaioshin	personnage		oui
東の界王神	Higashi no Kaiōshin	Kaioshin de l Est	personnage		oui
西の界王神	Nishi no Kaiōshin	Kaioshin de l Ouest	personnage		oui
南の界王神	Minami no Kaiōshin	Kaioshin du Sud	personnage		oui
北の界王神	Kita no Kaiōshin	Kaioshin du Nord	personnage		oui
キビト	Kibito	Kibito	personnage		oui
北の界王	Kita no Kaiō	Kaio du Nord	personnage		oui
東の界王	Higashi no Kaiō	Kaio de l Est	personnage		oui
西の界王	Nishi no Kaiō	Kaio de l Ouest	personnage		oui
南の界王	Minami no Kaiō	Kaio du Sud	personnage		oui
大界王	Dai Kaiō	Grand Kaio	personnage		oui
閻魔大王	Enma Daiō	Grand roi Enma	personnage		oui
グレゴリー	Guregorī	Grégory	personnage		oui
バブルス	Baburusu	Bubbles	personnage		oui
パイクーハン	Paikūhan	Paikuhan	personnage		oui
オリブー	Oribū	Olibu	personnage		oui
ビルス	Birusu	Beerus	personnage		oui
ウイス	Uisu	Whis	personnage		oui
シャンパ	Shanpa	Champa	personnage		oui
全王	Zen ō	Zeno	personnage		non
大神官	Daishinkan	Grand Prêtre	personnage		oui
ジレン	Jiren	Jiren	personnage		oui
トッポ	Toppo	Toppo	personnage		oui
神龍	Shenron	Shenron	personnage		non
ポルンガ	Porunga	Porunga	personnage		oui
一星龍	Ī Shinron	Ii Shinron	personnage		oui
超一星龍	Chō Ī Shinron	Super Ii Shinron	personnage		oui
ベビー	Bebī	Baby	personnage		non
ベジータベビー	Bejīta Bebī	Baby Vegeta	personnage		oui
ドクター・ミュー	Dokutā Myū	Dr Mu	personnage		oui
ギル	Giru	Giru	personnage		non
ウーブ	Ūbu	Oob	personnage		oui
マーロン	Māron	Marron	personnage		oui
マロン	Maron	Maron	personnage		non
ブリーフ博士	Burīfu Hakase	Dr Brief	personnage		oui
桃白白	Tao Pai Pai	Tao Pai Pai	personnage		oui
武泰斗	Mutaito	Mutaito	personnage		oui
陳大拳	Chin Taiken	Chin Taiken	personnage		oui
ジャッキー・チュン	Jakkī Chun	Jackie Chun	personnage	ジャッキーチュン	oui
ナム	Namu	Nam	personnage		non
ランファン	Ranfan	Lanfan	personnage		oui
ギラン	Giran	Guilan	personnage		oui
男狼	Otoko Ōkami	Homme-garou	personnage		non
パンプット	Panputto	Pamputt	personnage		oui
ウパ	Upa	Upa	personnage		non
ボラ	Bora	Bora	personnage		non
レッド総帥	Reddo Sōsui	Général Red	personnage		oui
ブルー将軍	Burū Shōgun	Général Blue	personnage		oui
ホワイト将軍	Howaito Shōgun	Général White	personnage		oui
シルバー大佐	Shirubā Taisa	Colonel Silver	personnage		oui
バイオレット大佐	Baioretto Taisa	Colonel Violet	personnage		oui
イエロー大佐	Ierō Taisa	Capitaine Yellow	personnage		oui
ムラサキ曹長	Murasaki Sōchō	Ninja Murasaki	personnage		oui
メタリック軍曹	Metarikku Gunsō	Sergent Metallic	personnage		oui
ピラフ	Pirafu	Pilaf	personnage		oui
マイ	Mai	Maï	personnage		non
シュウ	Shū	Shû	personnage		non
タンバリン	Tanbarin	Tambourine	personnage		non
シンバル	Shinbaru	Cymbal	personnage		non
ドラム	Doramu	Drum	personnage		non
ピアノ	Piano	Piano	personnage		non
ガーリック	Gārikku	Garlic	personnage		oui
スラッグ	Suraggu	Slug	personnage		oui
クリーザ	Kurīza	Kreeza	personnage		oui
ボージャック	Bōjakku	Bojack	personnage		oui
ザンギャ	Zangya	Zangya	personnage		oui
ビドー	Bidō	Bido	personnage		oui
ブージン	Būjin	Bujin	personnage		oui
ゴクア	Gokua	Gokua	personnage		oui
ジャネンバ	Janenba	Janemba	personnage		oui
ヒルデガーン	Hirudegān	Hildegarn	personnage		oui
タピオン	Tapion	Tapion	personnage		oui
ハッチヒャック	Hatchihyakku	Hatchiyack	personnage		oui
コーチン	Kōchin	Dr Kochin	personnage		oui
アモンド	Amondo	Amond	personnage		oui
カカオ	Kakao	Cacao	personnage		non
レズン	Rezun	Raisin	personnage		oui
サンショ	Sansho	Sansho	personnage		oui
メダマッチャ	Medamatcha	Medamatcha	personnage		oui
ミソカッツン	Misokattsun	Misokatsun	personnage		oui
アンギラ	Angira	Angila	personnage		oui
ニコチャン大王	Nikochan Daiō	Grand roi Nikochan	personnage		oui
則巻アラレ	Norimaki Arare	Aralé Norimaki	personnage		oui
スッパマン	Suppaman	Suppaman	personnage		oui
アックマン	Akkuman	Ackman	personnage		oui
ネコマジン	Nekomajin	Neko Majin	personnage		oui
モロ	Moro	Moro	personnage		non
ハーツ	Hātsu	Hearts	personnage		non
マゼンタ	Mazenta	Magenta	personnage		oui
カーマイン	Kāmain	Carmine	personnage		oui
ベリブル	Beriburu	Berryblue	personnage		oui
キコノ	Kikono	Kikono	personnage		oui
イレーザ	Irēza	Erasa	personnage		oui
アンニン	Annin	Annin	personnage		oui
国王	Kokuō	Roi de la Terre	personnage		non
栽培マン	Saibaiman	Saibaimen	personnage	サイバイマン	oui
トーマ	Tōma	Toma	personnage		non
クロノア	Kuronoa	Chronoa	personnage		oui
かめはめ波	Kamehameha	Kamehameha	technique	カメハメ波	oui
超かめはめ波	Chō Kamehameha	Super Kamehameha	technique		oui
界王拳	Kaiō-ken	Kaiô-ken	technique		oui
元気玉	Genki-dama	Genkidama	technique		oui
超元気玉	Chō Genki-dama	Super Genkidama	technique		oui
気円斬	Kienzan	Kienzan	technique		oui
魔閃光	Masenkō	Masenko	technique		oui
魔貫光殺砲	Makankōsappō	Makankosappo	technique		oui
残像拳	Zanzōken	Image rémanente	technique		oui
瞬間移動	Shunkan Idō	Téléportation	technique		oui
気功砲	Kikōhō	Kikoho	technique		oui
気功波	Kikōha	Kikoha	technique		oui
龍拳	Ryūken	Poing du dragon	technique		non
操気弾	Sōkidan	Sokidan	technique	繰気弾	oui
舞空術	Bukūjutsu	Bukujutsu	technique		oui
太陽拳	Taiyōken	Poing du soleil	technique		oui
どどん波	Dodonpa	Dodonpa	technique		oui
魔封波	Mafūba	Mafuba	technique		oui
四妖拳	Shiyōken	Shiyoken	technique		oui
四身の拳	Shishin no Ken	Poing des quatre corps	technique		oui
分身の術	Bunshin no Jutsu	Technique de dédoublement	technique		oui
ジャン拳	Jan-ken	Jan-ken	technique		oui
狼牙風風拳	Rōga Fūfū Ken	Poing du loup	technique		oui
爆力魔波	Bakuriki Maha	Bakuriki Maha	technique		oui
拡散エネルギー波	Kakusan Enerugī-ha	Vague d énergie diffuse	technique		oui
デスビーム	Desu Bīmu	Rayon de la mort	technique		oui
ギャリック砲	Gyarikku Hō	Canon Garric	technique		oui
ファイナルフラッシュ	Fainaru Furasshu	Final Flash	technique		oui
ビッグバンアタック	Biggu Ban Atakku	Big Bang Attack	technique		oui
身勝手の極意	Migatte no Gokui	Ultra Instinct	technique		oui
潜在能力	Senzai Nōryoku	Potentiel latent	technique		non
気弾	Kidan	Boule de ki	technique		non
エネルギー波	Enerugī-ha	Vague d énergie	technique		non
必殺技	Hissatsu-waza	Technique spéciale	technique		non
超サイヤ人	Chō Saiya-jin	Super Saiyan	transformation	スーパーサイヤ人	oui
超サイヤ人2	Chō Saiya-jin Tsū	Super Saiyan 2	transformation		oui
超サイヤ人3	Chō Saiya-jin Surī	Super Saiyan 3	transformation		oui
超サイヤ人4	Chō Saiya-jin Fō	Super Saiyan 4	transformation		oui
超サイヤ人ゴッド	Chō Saiya-jin Goddo	Super Saiyan God	transformation		oui
超サイヤ人ゴッド超サイヤ人	Chō Saiya-jin Goddo Chō Saiya-jin	Super Saiyan Blue	transformation	超サイヤ人ゴッドSS|超サイヤ人ブルー	oui
伝説の超サイヤ人	Densetsu no Chō Saiya-jin	Super Saiyan légendaire	transformation		oui
超ベジータ	Chō Bejīta	Super Vegeta	transformation		oui
大猿	Ōzaru	Grand singe	transformation		non
黄金大猿	Ōgon Ōzaru	Grand singe doré	transformation		oui
完全体	Kanzentai	Forme parfaite	transformation		oui
最終形態	Saishū Keitai	Forme finale	transformation		oui
第一形態	Daiichi Keitai	Première forme	transformation		oui
フュージョン	Fyūjon	Fusion	transformation		oui
ポタラ	Potara	Potara	transformation		oui
合体	Gattai	Fusion	transformation		non
融合	Yūgō	Fusion	transformation		non
覚醒	Kakusei	Éveil	transformation		non
変身	Henshin	Transformation	transformation		non
サイヤ人	Saiya-jin	Saiyan	race		oui
地球人	Chikyū-jin	Terrien	race		oui
ナメック星人	Namekku-seijin	Namek	race		oui
フリーザ一族	Furīza Ichizoku	Race de Freezer	race		non
人造人間	Jinzōningen	Cyborg	race		oui
魔人	Majin	Majin	race		non
魔族	Mazoku	Race démoniaque	race		non
破壊神	Hakaishin	Dieu de la Destruction	race		oui
天使	Tenshi	Ange	race		non
ヤードラット星人	Yādoratto-seijin	Yardratien	race		oui
メタモル星人	Metamoru-seijin	Métamoran	race		oui
ツフル人	Tsufuru-jin	Tsufuru	race		oui
シリアル星人	Shiriaru-seijin	Céréalien	race		oui
地球	Chikyū	Terre	planete		non
ナメック星	Namekku-sei	Planète Namek	planete		oui
惑星ベジータ	Wakusei Bejīta	Planète Vegeta	planete	ベジータ星	oui
ヤードラット星	Yādoratto-sei	Planète Yardrat	planete		oui
カナッサ星	Kanassa-sei	Planète Kanassa	planete		oui
ツフル星	Tsufuru-sei	Planète Tsufuru	planete		oui
魔凶星	Makyōsei	Planète Makyo	planete		oui
モンマール星	Monmāru-sei	Planète Monmar	planete		non
界王星	Kaiō-sei	Planète de Kaio	planete	北の界王星	oui
大界王星	Dai Kaiō-sei	Planète du Grand Kaio	planete		oui
ビルスの星	Birusu no Hoshi	Planète de Beerus	planete		oui
フリーザ第79惑星	Furīza Dai-Nanajūkyū Wakusei	Planète Freezer no 79	planete		oui
第11宇宙	Dai-Jūichi Uchū	Univers 11	planete		oui
あの世	Ano-yo	L Autre Monde	lieu		non
魔界	Makai	Monde des démons	lieu		non
地獄	Jigoku	Enfer	lieu		non
天界	Tenkai	Monde céleste	lieu		non
界王神界	Kaiōshinkai	Monde des Kaioshin	lieu		oui
神殿	Shinden	Palais de Dieu	lieu		non
カリン塔	Karin-tō	Tour Karin	lieu		oui
精神と時の部屋	Seishin to Toki no Heya	Salle de l Esprit et du Temps	lieu		oui
蛇の道	Hebi no Michi	Chemin du Serpent	lieu		oui
西の都	Nishi no Miyako	Ouest City	lieu		oui
サタンシティ	Satan Shiti	Satan City	lieu		oui
パオズ山	Paozu-yama	Mont Paozu	lieu		oui
聖地	Seichi	Terre sacrée	lieu		non
世界の中心	Sekai no Chūshin	Noyau du Monde	lieu		oui
天下一武道会	Tenkaichi Budōkai	Tenkaichi Budokai	organisation		oui
力の大会	Chikara no Taikai	Tournoi du Pouvoir	organisation		oui
セルゲーム	Seru Gēmu	Cell Game	organisation		oui
レッドリボン軍	Reddo Ribon Gun	Armée du Ruban Rouge	organisation		oui
ギニュー特戦隊	Ginyū Tokusentai	Commando Ginyu	organisation		oui
銀河パトロール	Ginga Patorōru	Patrouille Galactique	organisation		oui
Z戦士	Zetto Senshi	Guerriers Z	organisation		oui
亀仙流	Kame-sen-ryū	École de la Tortue	organisation		oui
鶴仙流	Tsuru-sen-ryū	École de la Grue	organisation		oui
ウサギ団	Usagi-dan	Bande des Lapins	organisation		oui
カプセルコーポレーション	Kapuseru Kōporēshon	Capsule Corporation	organisation		oui
ドラゴンボール	Doragon Bōru	Dragon Ball	objet		oui
四星球	Sūshinchū	Boule à quatre étoiles	objet		oui
ドラゴンレーダー	Doragon Rēdā	Radar à Dragon Ball	objet		oui
スカウター	Sukautā	Scouter	objet		oui
仙豆	Senzu	Haricot magique	objet		non
如意棒	Nyoibō	Bâton magique	objet		oui
筋斗雲	Kintoun	Nuage magique	objet	きんとうん	oui
ホイポイカプセル	Hoipoi Kapuseru	Capsule Hoi-Poi	objet		oui
超神水	Chōshinsui	Eau sacrée	objet		oui
神精樹	Shinseiju	Arbre divin	objet		oui
戦闘力	Sentōryoku	Force de combat	objet		oui
大全集	Daizenshū	Daizenshu	ouvrage		oui
超全集	Chōzenshū	Chozenshu	ouvrage		oui
超事典	Chō Jiten	Chojiten	ouvrage		oui
週刊少年ジャンプ	Shūkan Shōnen Janpu	Weekly Shonen Jump	ouvrage		oui
Vジャンプ	Bui Janpu	V Jump	ouvrage		oui
ドラゴンボールZ	Doragon Bōru Zetto	Dragon Ball Z	ouvrage		oui
ドラゴンボールGT	Doragon Bōru Jī Tī	Dragon Ball GT	ouvrage		oui
ドラゴンボール超	Doragon Bōru Sūpā	Dragon Ball Super	ouvrage		oui
ドラゴンボール改	Doragon Bōru Kai	Dragon Ball Kai	ouvrage		oui
悟空伝説	Gokū Densetsu	Goku Densetsu	ouvrage		oui
鳥山明	Toriyama Akira	Akira Toriyama	titre		oui
集英社	Shūeisha	Shueisha	titre		oui
バードスタジオ	Bādo Sutajio	Bird Studio	titre		oui
東映動画	Tōei Dōga	Toei Doga	titre		oui
其之	Sono	Chapitre	titre		non
定価	Teika	Prix	titre		non
税込	Zeikomi	TTC	titre		non
エイジ	Eiji	Age	titre		non
劇場版	Gekijōban	Film	titre		non
原作	Gensaku	Œuvre originale	titre		non
単行本	Tankōbon	Tankobon	titre		non
連載	Rensai	Sérialisation	titre		non
初登場	Hatsutōjō	Première apparition	titre		non
